task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
12,2026-01-31 14:55:25.283000+00:00,2026-01-31 14:55:25.533000+00:00,257.3692648759485,4.703270033233654,2.620569190801042,19.73119667322856,4.499185476322344,1.8331824541997692,0.54429144709599,0.21940714083833646,-0.27801456029596516,0.27801456029596516,0.2810785971597827,0.23233570179334914,0.23233570179334914
12,2026-01-31 14:55:25.408000+00:00,2026-01-31 14:55:25.658000+00:00,236.0913267476489,3.7673828552633424,3.3789009070786005,16.1767113264247,2.9942237222119608,1.7913289956729217,0.6864708324047513,-0.04185345852684752,-0.261260599365184,0.261260599365184,0.14217938530876129,-0.1388992118510214,0.1388992118510214
12,2026-01-31 14:55:25.533000+00:00,2026-01-31 14:55:25.783000+00:00,290.18610073510695,2.2536893737282067,2.968312664426043,17.509950990337845,3.779350498992517,1.8019899957758845,0.6089125717143249,0.010661000102962781,0.0525144586298103,0.0525144586298103,-0.07755826069042637,-0.21973764599918766,0.21973764599918766
12,2026-01-31 14:55:25.658000+00:00,2026-01-31 14:55:25.908000+00:00,287.70820252064436,1.8768787620122913,2.078156602411241,15.993134063386226,5.511796024351975,1.73242912857323,0.46964100277310067,-0.0695608672026544,-0.08022186730561719,0.08022186730561719,-0.13927156894122422,-0.06171330825079785,0.06171330825079785
12,2026-01-31 14:55:25.783000+00:00,2026-01-31 14:55:26.033000+00:00,208.9155824080612,1.3007314663196325,1.8559753979182516,14.791445246836028,10.569741468005526,0.881444832749335,0.09627454625410187,-0.850984295823895,-0.7814234286212406,0.7814234286212406,-0.3733664565189988,-0.23409488757777458,0.23409488757777458
12,2026-01-31 14:55:25.908000+00:00,2026-01-31 14:55:26.158000+00:00,157.61159519795845,0.8244095925793339,2.899694566724121,21.210998913235333,15.387423931928488,-1.2641143533664678,0.3631350587438447,-2.1455591861158028,-1.2945748902919076,1.2945748902919076,0.26686051248974285,0.6402269690087417,0.6402269690087417
12,2026-01-31 14:55:26.033000+00:00,2026-01-31 14:55:26.283000+00:00,139.22172083709125,2.2244918791115156,3.320666367192608,22.370946842016338,13.05433160492556,-1.3551110765456222,0.17047327837692047,-0.09099672317915442,2.0545624629366483,2.0545624629366483,-0.19266178036692425,-0.4595222928566671,0.4595222928566671
12,2026-01-31 14:55:26.158000+00:00,2026-01-31 14:55:26.408000+00:00,99.66311419457526,4.174580930525868,2.758210151708307,18.939459049944492,7.64977736871786,1.7906566239567971,0.2912244362398554,-3.1374176066771673,-3.046420883498013,3.046420883498013,0.12075115786293492,0.31341293822985916,0.31341293822985916
13,2026-01-31 14:55:30.510000+00:00,2026-01-31 14:55:30.760000+00:00,6.693943238303696,0.827157729566807,12.693965310973795,37.27421662488088,6.784959266115129,2.5010986004146893,0.41904854346345055,0.7104419764578922,-2.435325724044527,2.435325724044527,0.12782410722359516,0.007072949360660247,0.007072949360660247
13,2026-01-31 14:55:30.635000+00:00,2026-01-31 14:55:30.885000+00:00,9.827443531941778,0.966410991743076,15.965411457379961,47.95199317458972,10.669262338768103,-2.830000059592979,0.38177111534461117,0.9520866471719177,0.2416446707140255,0.2416446707140255,-0.037277428118839384,-0.16510153534243455,0.16510153534243455
