label,event_task,J,dh,kappa_E,kappa_Q
P13,7,-0.11351097800612175,-0.020343082874200245,0.41314313512697126,0.0628784277484259
P13,10,0.04476111362142193,0.0203143449629375,0.963862355249591,4.649991083063934
P13,12,-0.08499201815829849,-0.023808289968706785,0.4110746187238906,2.4184154105437567
P13,13,-0.04768558819869595,0.011395138719626899,1.1618024170659331,10.13252268190831
P13,15,-0.0847079618326595,-0.015479121391766694,0.7154976500102654,3.801874005959205
P13,21,0.2327965772423647,0.10761149211097133,1.4240297869779437,7.247403824945786
P13,23,-0.1506163595961023,-0.03331360157620327,0.529256753421564,10.69378814621831
P14,1,-0.04224731162685097,0.005862452406150912,0.7033312441467475,
P14,5,-0.1429490543290814,-0.03101926790668092,0.7418549029490793,3.182346617825445
P14,11,0.12780814117665168,0.024747714252612133,0.963322792412026,0.3330730789497061
P14,12,-0.12998134972167547,-0.01928138024601324,0.6829123788922756,4.84675121560364
P14,13,0.15454329050314325,0.032246832851252925,0.8459230235115184,1.022103165439334
P14,14,-0.05966472861717709,-0.026394632319722777,0.24917672866428792,3.076670780187602
P14,18,0.14126354992717843,0.009217721526055067,1.0071580607949557,8.613938637619968
P14,19,-0.0495198580402359,-0.013077889492953835,0.43273374191430264,10.297514156932214
P14,21,0.273904427918419,0.05351148820360213,0.6054449508883857,0.1598134694831078
P14,26,-0.25759580667306176,-0.04144000180412925,0.54784429291936,1.5166200974250943
P15,1,0.24374948843828043,0.05336439205026941,1.1711757082896042,
P15,3,-0.0930338016404873,-0.0181312413880899,0.34597704448178096,8.546006727657474
P15,9,0.06373081275490416,0.026364987686525274,0.8549730080453227,1.4495953405745945
P15,11,-0.19897927493386974,-0.06784704655075957,0.6715780428383508,1.943524899280256
P15,26,-0.07459301407975144,0.006119776641406666,1.3599591724413609,0.0400348132486419
P16,1,0.09210724952961086,0.010840716971105092,0.6770080631901112,
P16,3,-0.021473801276161997,-0.011150347622031532,0.3802267281720645,0.6953031559317636
P16,5,-0.004258773098999913,0.002313400289159567,0.9650342326179301,0.4274004448359146
P16,9,-0.1814864464860933,-0.03548741553782506,0.21402101933311343,1.7055849171564403
P16,13,0.13875190698975287,0.03078554020298464,0.8352564181050947,2.848194898829832
P16,15,-0.07590869668831163,-0.01733648932220439,0.3324814446234135,1.431225469369455
P16,17,0.15521108372427334,0.03602157553917517,1.132162961665135,2.123814935599829
P16,19,-0.14074874109799707,-0.015760626929640587,0.500017206301954,2.709651483439589
P16,20,0.07510391929982951,0.012992406443971906,0.9674974058316147,2.7370425846858786
P16,26,-0.11879764388415254,-0.03219009798297701,0.3646931045620054,1.0256874250067023
P16,27,0.1748248286894064,0.02214783057057708,0.49219729653222605,2.9653485028950817
P17,5,0.1691922422586143,0.06620169837729092,1.2170200057925507,5.437428725791106
P17,8,-0.25630530007594604,-0.05425235145831207,0.5143876037378219,2.4368371388834533
P17,11,0.1417275683509045,0.019412276645168005,0.876058964246779,3.6727070302913023
P17,14,-0.10046590746969225,-0.019353118213547266,0.4760184790876873,3.609553515623357
P17,26,0.15628489439562238,0.023520260518267947,0.8859649880106996,1.6030049330286915
P17,27,-0.05944507158881013,-0.019618385056408373,0.6741424641600134,9.770033247701011
P18,1,0.1636805111440488,0.016108787363838455,0.6919764420418472,
P18,3,-0.045396691327165783,-0.01614536869254638,0.9126401495938671,5.097333064923088
P18,5,0.14786658369804578,0.01963402317377978,1.016816044129771,1.2767296387152065
P18,8,-0.08541210853194126,-0.030794749863147872,0.37973093771186367,2.930007507892913
P18,9,-0.03608367024763548,0.00024910679096885326,1.1153342099740826,0.4585181090053122
P18,10,-0.038560278202047216,-0.0006700934548847333,0.9827771346844513,4.790318061126392
P18,11,0.04484394700004474,0.0024154375501227,0.5497060504491031,14.119317533271897
P18,13,-0.04680698376710024,-0.016901316741271946,0.39695356031564094,1.046386512386097
P18,17,0.15559397364981742,0.04552312514159794,1.2484785032914263,9.15333225837312
P18,19,-0.21772186832625845,-0.04243530982218918,0.9555845558258549,5.066182311149391
P18,22,0.170784187945003,0.026038377189188555,1.075268286844705,1.3051465094383194
P18,23,-0.02334560789108825,-0.020065680304027188,0.8069674402162121,1.208132237750441
P18,25,0.079910631331015,0.020200049352014752,1.081031822216916,2.952753210729913
P18,27,-0.050248676838079154,-0.024218432919524295,0.5784491197899322,0.8145791339620846
P19,3,0.04244250014687845,0.0227880458663263,1.2037480809170131,2.2869060436816864
P19,5,-0.20985040809069228,-0.028588393444749772,0.6458197841888769,0.2007751849751653
P19,10,0.21020751065235554,0.019206233620283276,1.1094065574199863,0.5517216156731317
P19,12,-0.22675608598378066,-0.03484305829992719,1.2797560916427986,4.917152464251468
P19,14,0.20028617017423955,0.055501374506158115,1.1135084627105747,2.015611370436044
P19,16,-0.11637135705876561,-0.03507282263503769,0.4421474555335824,1.4280555224831788
P19,17,0.05252070828738126,0.02184683569091122,0.608348140708515,1.6808913897153062
P19,18,-0.07473363299094826,-0.033063211448281934,0.29677327774447326,1.2060865606866602
P19,22,0.03929898670595894,0.014240995234056513,0.849894913538391,1.4250925031798352
P19,24,-0.13883632773449983,-0.029182805629543847,0.3276212632887144,1.8496155458258063
P20,2,-0.12674820390239588,-0.008832723845286007,0.4692150572449389,7.215358416315016
P20,4,0.12419828847161785,0.014721190479352633,0.6961809587404117,9.123234185658111
P20,6,-0.08777035407267919,-0.027867366665175773,0.5080915946772985,6.002511504499718
P20,10,0.1469187249863696,0.014961221950906226,0.7623856213339538,0.0447041274124307
P20,13,-0.26257855744449704,-0.030482576886671553,1.0039031961255125,0.7614157707718803
P20,15,0.055027295403511034,0.011639299044946014,1.445594036057174,2.29364742368791
P20,16,-0.12676867578389867,-0.016668074098705833,0.6923571009535802,0.9895877942815904
P20,18,0.16985770056386784,0.02493454958328885,0.9328491842291327,0.2851638520818301
P20,19,-0.1292533019138336,-0.020676948534773622,0.8440761924012459,8.772071636106372
P20,21,-0.013678215641444114,0.01899055756126532,0.9937626553120403,4.5836824311593665
P20,25,-0.06775308021171578,-0.011171587749574746,0.6610564008407095,0.0386961547133739
P20,26,0.14280658744726843,0.01144481335128614,0.7427970557517934,5.719389462809025
P20,27,-0.1495719823275355,-0.005837660329862287,0.9552343849873279,2.287363969864485
P21,7,0.08419537923177073,0.013033828000014186,1.0503858785941615,6.389987010956548
P21,8,-0.007327466324491494,-0.013635005217121259,0.6653266853309691,2.8659243619236476
P21,10,0.2163332327123887,0.05677528690294971,1.5318318683593484,2.9504011959047456
P21,11,-0.184134968718435,-0.05468999584063546,0.5264642793827954,1.2881848535821263
P21,27,0.14532754351390242,0.033836224364256914,0.9952997832646336,0.001545434484873
P22,2,0.20544124668763275,0.027099058969749117,1.0305435459038064,4.78222183927623
P22,3,-0.01571777803715907,-0.01662903709723762,0.7156207159594217,7.751589209012973
P22,4,0.007889966080561306,0.015051649816534507,0.7054351614968604,16.36939590314668
P22,5,-0.06732965330589902,-0.013708268179060588,0.6938285675405754,12.47873697427255
P22,8,0.14286030632163083,0.008166616148604868,0.6466146370098077,4.2334455380467
P22,11,-0.014997458219933701,-0.01368334910097228,0.812445962523089,0.1118046985663779
P22,25,0.04425773824847634,0.009162354258270633,0.3826842320712038,5.02837084604691
P22,27,-0.08930511927374984,-0.019209794690903174,0.5264729172945348,5.57948132520349
P23,3,0.05839201714309766,0.010002803763140333,1.0422398097794952,12.222790567326353
P23,7,-0.1447716950945684,-0.02432222809310773,0.7135658568208308,3.985602226455757
P23,24,0.1939553955238209,0.0160455906978581,0.7764995012754167,16.137345824872764
P23,25,-0.16278527660975062,-0.0224995382421751,0.716631633595308,3.672323717660346
P24,5,0.17155699627236282,0.037149476332754054,1.0062755410081972,5.173929833110704
P24,6,-0.15667171962589904,-0.03704464722508829,0.49703140233058696,1.7652128967013745
P24,14,0.09170818240531631,0.01952177741909122,1.334609979004386,1.513240979254692
P24,15,-0.13590400252378276,-0.027824628054413582,0.7554861603597083,0.0914709161131537
P24,17,0.16686291852183927,0.039308186544234715,1.0202370222052612,4.613804115891401
P24,18,-0.13771953819902738,-0.0359724771876573,0.701658951594953,0.3353424795321361
P24,19,0.00755314165827059,0.012208356665612628,0.8076829867303541,3.1010286537374676
P24,20,0.0890125380444417,-0.0021809284698962126,0.46827708873436064,3.7726067900643714
