t,valid,kappa,mq,a,kL,kS,mqL,g,h
272,True,0.2525723129649198,0.8586560981156941,0.34030921943127784,0.43318286089965463,0.010336923281291368,0.09110809157746597,-0.007233636958583494,-0.017634165130837508
273,True,2.2334975241584636,0.8586560981156941,0.3446133583833159,0.43318286089965463,0.0034067730213122446,0.09110809157746597,-0.0047950173520571035,-0.014939590453879385
274,True,1.9103925932813544,0.8586560981156941,0.3112484480004063,0.43318286089965463,0.015835254597288732,0.09110809157746597,-0.009168420195218484,-0.02092869300425186
275,True,0.0283236893942169,0.8586560981156941,0.3482904927194431,0.40961120637807,0.021700657154036775,0.09110809157746597,-0.011036339945501147,-0.020950678232549664
276,True,0.2108560212438309,0.8586560981156941,0.3376973303206769,0.40961120637807,0.01463150447813366,0.09110809157746597,-0.008548807399989245,-0.019097611407647527
277,True,0.0376181497944266,0.8586560981156941,0.3328818568064746,0.40961120637807,0.008789298233270832,0.09110809157746597,-0.006493019551294558,-0.017301405236195083
278,True,0.3119735324883412,0.8586560981156941,0.32680396470337797,0.40961120637807,0.0007229780470077881,0.09110809157746597,-0.003654598186560697,-0.014765429557617173
279,True,0.0032198095836546,0.8586560981156941,0.3293586001919626,0.40961120637807,-0.005184822305217424,0.09110809157746597,-0.0015757287205437629,-0.01256283278215956
280,True,0.6429265218989553,0.8586560981156941,0.31576729272257276,0.40961120637807,-0.01236602145173068,0.09110809157746597,0.0009512313568140059,-0.010638524444509537
281,True,0.4474154511393577,0.8586560981156941,0.3316134574036796,0.3706256132411103,-0.01579497518929849,0.09110809157746597,0.002482049090002316,-0.008391760776124123
282,True,0.015118865709247,0.8586560981156941,0.34293120113300707,0.3290621148525552,-0.021236726283320514,0.09110809157746597,0.00474257989827424,-0.005503755545357288
283,True,0.0634054461487479,0.8586560981156941,0.3679064216733445,0.3706256132411103,-0.016216465584645078,0.09110809157746597,0.0026303654617252357,-0.005870892160300841
284,True,0.2275801019548922,0.8586560981156941,0.4132304129547315,0.40961120637807,-0.018415303739243615,0.09110809157746597,0.003079886268805236,-0.0008883815757074025
285,True,2.50515204203087,-0.5978196738932328,0.4071823083670381,0.5181097305589059,-0.023363720372024988,0.09110809157746597,0.003918848869179596,-0.0007619766191479561
286,True,2.8356173240453613,-0.5978196738932328,0.3335258465604563,0.40961120637807,-0.0147275600621016,0.09110809157746597,0.001782222625513707,-0.008992477178297946
287,True,0.0857806819256845,-0.5978196738932328,0.37560147683108197,0.40961120637807,-0.0018551155885078684,0.09110809157746597,-0.002747404337772731,-0.010606811351220963
288,True,0.0673545884088544,-0.5978196738932328,0.3286258029068051,0.461614868285637,-0.004047306465120623,0.09110809157746597,-0.002408485657531284,-0.013431582374038293
289,True,0.1012417436632957,-0.5978196738932328,0.3690472826325875,0.5607743281845914,-0.006810999523136866,0.09110809157746597,-0.0022606285810972226,-0.010669899189241442
290,True,1.4501534456378755,-0.5978196738932328,0.38749879196020137,0.5607743281845914,-0.014106239172432247,0.09110809157746597,0.000306460699176769,-0.00646002522757912
291,True,1.1867561022093092,-0.5978196738932328,0.393042498225941,0.5607743281845914,-0.000727528956338237,0.09110809157746597,-0.004401313853910635,-0.010615901553737345
292,True,1.6828025199748713,-0.5978196738932328,0.43099219896887914,0.5607743281845914,0.010173592789926656,0.09110809157746597,-0.008237260871840497,-0.009911062668551292
293,True,0.6172691904578602,-0.5978196738932328,0.3806407804243357,0.461614868285637,0.013166886773813532,0.09110809157746597,-0.008465911192071615,-0.01587747019158588
294,True,1.0008420145843122,-0.5978196738932328,0.3432797793079785,0.40961120637807,0.009424709629753492,0.09110809157746597,-0.006716611628167881,-0.01694204255914982
295,True,0.4189502706599515,-0.5978196738932328,0.29986981729388157,0.37492211979391876,0.008173809904518207,0.09110809157746597,-0.005987950916476929,-0.01811364034720112
296,True,0.7043270868353337,-0.5978196738932328,0.28695143707759324,0.37492211979391876,0.004862820758732212,0.09110809157746597,-0.004822861741637866,-0.01725589787069589
297,True,0.3003835968144819,-0.5978196738932328,0.27283971764270404,0.37492211979391876,0.0038837565003426696,0.09110809157746597,-0.00447834319485456,-0.017122043985968286
298,True,0.1387488096447255,-0.5978196738932328,0.25036972197401597,0.4339618814360868,0.006846512042777604,0.09110809157746597,-0.006011890366492148,-0.018737022686718716
299,True,0.9928908715316668,-0.5978196738932328,0.26390019693721745,0.4859655433436539,0.0025810247831426344,0.09110809157746597,-0.004943408686877372,-0.01765582025269795
300,True,0.9342599343144968,0.7800358570481647,0.2287150106982691,0.4339618814360868,0.0016395875991056595,-0.2975945411334202,-0.0042064620163777605,-0.01673602859949057
301,True,1.9007930391561951,0.7800358570481647,0.2816092649119639,0.4339618814360868,0.013543505813048135,-0.2975945411334202,-0.008395278602166217,-0.020923099679309783
302,True,0.2632992911307739,0.7800358570481647,0.3134394180507034,0.4339618814360868,0.029192574761447,-0.2975945411334202,-0.013901959544112167,-0.02558138642131185
303,True,1.1470862743015424,0.7800358570481647,0.31683115910580306,0.4339618814360868,0.022721874882805776,-0.2975945411334202,-0.011625013879149056,-0.02317248688225118
304,True,0.4002721420961885,0.7800358570481647,0.37864863567988766,0.37492211979391876,0.020318866243980962,-0.2975945411334202,-0.010288433544106464,-0.017879664189186698
